學號,10101性別,10102性別,10201性別,10202性別,10301性別,10302性別,10401性別,10402性別,10101身分甲,10102身分甲,10201身分甲,10202身分甲,10301身分甲,10302身分甲,10401身分甲,10402身分甲,10101身分乙,10102身分乙,10201身分乙,10202身分乙,10301身分乙,10302身分乙,10401身分乙,10402身分乙,10101身分丙,10102身分丙,10201身分丙,10202身分丙,10301身分丙,10302身分丙,10401身分丙,10402身分丙
410174225,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174226,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174227,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174228,女性,女性,女性,-,-,-,-,-,一般生,一般生,一般生,-,-,-,-,-,指考分發生,指考分發生,指考分發生,-,-,-,-,-,一般生,一般生,一般生,-,-,-,-,-
410174229,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174230,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174231,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174232,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174233,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174234,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174235,女性,女性,女性,女性,女性,女性,-,-,原住民,原住民,原住民,原住民,原住民,原住民,原住民,-,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,-,一般生,一般生,一般生,一般生,一般生,一般生,一般生,-
410174236,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174237,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174238,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174239,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174240,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174241,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174242,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174243,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174244,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),甄選入學(個人),一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174245,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174246,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174247,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174248,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,繁星推薦,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174250,男性,男性,男性,男性,男性,男性,男性,男性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174251,男性,男性,男性,男性,男性,男性,-,-,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,-,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,-,一般生,一般生,一般生,一般生,一般生,一般生,一般生,-
410174252,男性,男性,男性,男性,男性,男性,男性,男性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174253,女性,女性,女性,女性,女性,女性,女性,女性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174254,女性,女性,女性,女性,女性,女性,女性,女性,外籍生,外籍生,外籍生,外籍生,外籍生,外籍生,外籍生,外籍生,外國學生申請入學,外國學生申請入學,外國學生申請入學,外國學生申請入學,外國學生申請入學,外國學生申請入學,外國學生申請入學,外國學生申請入學,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174255,女性,女性,女性,女性,女性,女性,女性,女性,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,僑港澳生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,海外聯招生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174401,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174402,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174403,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174404,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174406,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174407,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174408,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174409,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174410,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174411,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174412,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174413,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174414,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174415,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174416,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174417,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174418,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174419,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174420,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174421,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174422,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174423,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174424,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174425,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174426,男性,男性,男性,男性,男性,男性,男性,男性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174427,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174428,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
410174429,女性,女性,女性,女性,女性,女性,女性,女性,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,指考分發生,一般生,一般生,一般生,一般生,一般生,一般生,一般生,一般生
